as_of_date,category,amount
2007-01-03,total,774987618000.0
2007-01-10,total,774987618000.0
2007-01-17,total,775469825000.0
2007-01-24,total,775469825000.0
2007-01-31,total,775469825000.0
2007-02-07,total,775469825000.0
2007-02-14,total,775469825000.0
2007-02-21,total,775469825000.0
2007-02-28,total,777347825000.0
2007-03-07,total,777347825000.0
2007-03-14,total,777347825000.0
2007-03-21,total,777347825000.0
2007-03-28,total,777347825000.0
2007-04-04,total,777347825000.0
2007-04-11,total,779193825000.0
2007-04-18,total,779193825000.0
2007-04-25,total,783413825000.0
2007-05-02,total,783413825000.0
2007-05-09,total,786149825000.0
2007-05-16,total,786149825000.0
2007-05-23,total,786149825000.0
2007-05-30,total,786149825000.0
2007-06-06,total,786149825000.0
2007-06-13,total,786149825000.0
2007-06-20,total,786149825000.0
2007-06-27,total,786149825000.0
2007-07-11,total,786149825000.0
2007-07-18,total,786149825000.0
2007-07-25,total,786149825000.0
2007-08-01,total,786149825000.0
2007-08-08,total,786149825000.0
2007-08-15,total,784913483000.0
2007-08-22,total,784913483000.0
2007-08-29,total,779913483000.0
2007-09-05,total,774913483000.0
2007-09-12,total,774913483000.0
2007-09-19,total,774913483000.0
2007-09-26,total,774913483000.0
2007-10-03,total,774913483000.0
2007-10-10,total,774913483000.0
2007-10-17,total,774913483000.0
2007-10-24,total,774913483000.0
2007-10-31,total,774913483000.0
2007-11-07,total,774913483000.0
2007-11-14,total,774913483000.0
2007-11-21,total,774913483000.0
2007-11-28,total,774913483000.0
2007-12-05,total,774913483000.0
2007-12-12,total,769913483000.0
2007-12-19,total,764913483000.0
2007-12-26,total,749750234000.0
2008-01-02,total,735735177000.0
2008-01-09,total,723254640000.0
2008-01-16,total,723806595000.0
2008-01-23,total,718806595000.0
2008-01-30,total,713806595000.0
2008-02-06,total,708806595000.0
2008-02-13,total,708806595000.0
2008-02-20,total,708806595000.0
2008-02-27,total,708806595000.0
2008-03-05,total,708806595000.0
2008-03-12,total,698806595000.0
2008-03-19,total,655806595000.0
2008-03-26,total,607579161000.0
2008-04-02,total,576471285000.0
2008-04-09,total,555316049000.0
2008-04-16,total,543804985000.0
2008-04-23,total,543804985000.0
2008-04-30,total,543804985000.0
2008-05-07,total,531740491000.0
2008-05-14,total,510596374000.0
2008-05-21,total,497716871900.0
2008-05-28,total,485858946000.0
2008-06-04,total,481631729000.0
2008-06-11,total,476705484000.0
2008-06-18,total,473302960000.0
2008-06-25,total,473302960000.0
2008-07-02,total,473302960000.0
2008-07-09,total,473302960000.0
2008-07-16,total,473302960000.0
2008-07-23,total,473302960000.0
2008-07-30,total,473302960000.0
2008-08-06,total,473302960000.0
2008-08-13,total,473302960000.0
2008-08-20,total,473302960000.0
2008-08-27,total,473302960000.0
2008-09-03,total,473302960000.0
2008-09-10,total,473302960000.0
2008-09-17,total,473302960000.0
2008-09-24,total,479985502900.0
2008-10-01,total,484485502900.0
2008-10-08,total,484090502900.0
2008-10-15,total,484090502900.0
2008-10-22,total,484090502900.0
2008-10-29,total,483605502900.0
2008-11-05,total,483220502900.0
2008-11-12,total,482954502900.0
2008-11-19,total,482486502900.0
2008-11-26,total,482206502900.0
2008-12-03,total,481557502900.0
2008-12-10,total,485797502900.0
2008-12-17,total,487606502900.0
2008-12-24,total,490863502900.0
2008-12-31,total,489693502900.0
2009-01-07,total,489243502900.0
2009-01-14,total,499777138125.9
2009-01-21,total,500862459378.3
2009-01-28,total,506455605952.9
2009-02-04,total,508005605952.9
2009-02-11,total,510241035485.3
2009-02-18,total,569583110791.8
