as_of_date,total,mbs,tips,frn,tips_inflation_compensation,notes_&_bonds,bills,agencies,cmbs
2007-01-03,774987618000.0,0.0,30104877000,,3922032000.0,467863935000,277018806000,,0.0
2007-01-10,774987618000.0,0.0,30104877000,,3910595000.0,467863935000,277018806000,,0.0
2007-01-17,775469825000.0,0.0,30587084000,,3416890000.0,467863935000,277018806000,,0.0
2007-01-24,775469825000.0,0.0,30587084000,,3405536000.0,467863935000,277018806000,,0.0
2007-01-31,775469825000.0,0.0,31775539000,,3393125000.0,466675480000,277018806000,,0.0
2007-02-07,775469825000.0,0.0,31775539000,,3406311000.0,466675480000,277018806000,,0.0
2007-02-14,775469825000.0,0.0,31775539000,,3419306000.0,466675480000,277018806000,,0.0
2007-02-21,775469825000.0,0.0,31775539000,,3432450000.0,466675480000,277018806000,,0.0
2007-02-28,777347825000.0,0.0,31775539000,,3445506000.0,468553480000,277018806000,,0.0
2007-03-07,777347825000.0,0.0,31775539000,,3469772000.0,468553480000,277018806000,,0.0
2007-03-14,777347825000.0,0.0,31775539000,,3494045899.8,468553480000,277018806000,,0.0
2007-03-21,777347825000.0,0.0,31775539000,,3518337788.61,468553480000,277018806000,,0.0
2007-03-28,777347825000.0,0.0,31775539000,,3542620512.4,468553480000,277018806000,,0.0
2007-04-04,777347825000.0,0.0,31775539000,,3578189043.62,468553480000,277018806000,,0.0
2007-04-11,779193825000.0,0.0,31775539000,,3622372069.17,470399480000,277018806000,,0.0
2007-04-18,779193825000.0,0.0,31775539000,,3666463433.95,470399480000,277018806000,,0.0
2007-04-25,783413825000.0,0.0,32335539000,,3735641742.75,474059480000,277018806000,,0.0
2007-05-02,783413825000.0,0.0,34458704000,,3796224408.01,471936315000,277018806000,,0.0
2007-05-09,786149825000.0,0.0,34458704000,,3874780127.09,474672315000,277018806000,,0.0
2007-05-16,786149825000.0,0.0,34458704000,,3953429572.92,474672315000,277018806000,,0.0
2007-05-23,786149825000.0,0.0,34458704000,,4032006923.08,474672315000,277018806000,,0.0
2007-05-30,786149825000.0,0.0,34458704000,,4110639006.8,474672315000,277018806000,,0.0
2007-06-06,786149825000.0,0.0,34458704000,,4171947005.7,474672315000,277018806000,,0.0
2007-06-13,786149825000.0,0.0,34458704000,,4230516622.04,474672315000,277018806000,,0.0
2007-06-20,786149825000.0,0.0,34458704000,,4288972197.36,474672315000,277018806000,,0.0
2007-06-27,786149825000.0,0.0,34458704000,,4347449603.06,474672315000,277018806000,,0.0
2007-07-11,786149825000.0,0.0,34458704000,,4456667735.05,474672315000,277018806000,,0.0
2007-07-18,786149825000.0,0.0,34458704000,,4510254101.89,474672315000,277018806000,,0.0
2007-07-25,786149825000.0,0.0,34458704000,,4563858627.36,474672315000,277018806000,,0.0
2007-08-01,786149825000.0,0.0,35752628000,,4652660950.51,473378391000,277018806000,,0.0
2007-08-08,786149825000.0,0.0,35752628000,,4670362779.68,473378391000,277018806000,,0.0
2007-08-15,784913483000.0,0.0,35752628000,,4687923429.96,472142049000,277018806000,,0.0
2007-08-22,784913483000.0,0.0,35752628000,,4705646379.13,472142049000,277018806000,,0.0
2007-08-29,779913483000.0,0.0,35752628000,,4723304231.7,472142049000,272018806000,,0.0
2007-09-05,774913483000.0,0.0,35752628000,,4726742330.05,472142049000,267018806000,,0.0
2007-09-12,774913483000.0,0.0,35752628000,,4724304871.62,472142049000,267018806000,,0.0
2007-09-19,774913483000.0,0.0,35752628000,,4721837810.34,472142049000,267018806000,,0.0
2007-09-26,774913483000.0,0.0,35752628000,,4719468521.84,472142049000,267018806000,,0.0
2007-10-03,774913483000.0,0.0,35752628000,,4710961024.11,472142049000,267018806000,,0.0
2007-10-10,774913483000.0,0.0,35752628000,,4694143279.33,472142049000,267018806000,,0.0
2007-10-17,774913483000.0,0.0,35752628000,,4677391543.26,472142049000,267018806000,,0.0
2007-10-24,774913483000.0,0.0,35752628000,,4660611503.5,472142049000,267018806000,,0.0
2007-10-31,774913483000.0,0.0,36910568000,,4672369202.09,470984109000,267018806000,,0.0
2007-11-07,774913483000.0,0.0,36910568000,,4699126289.82,470984109000,267018806000,,0.0
2007-11-14,774913483000.0,0.0,36910568000,,4725907595.47,470984109000,267018806000,,0.0
2007-11-21,774913483000.0,0.0,36910568000,,4752548295.35,470984109000,267018806000,,0.0
2007-11-28,774913483000.0,0.0,36910568000,,4779373504.94,470984109000,267018806000,,0.0
2007-12-05,774913483000.0,0.0,36910568000,,4801400140.85,470984109000,267018806000,,0.0
2007-12-12,769913483000.0,0.0,36910568000,,4821496428.26,470984109000,262018806000,,0.0
2007-12-19,764913483000.0,0.0,36910568000,,4841656845.78,470984109000,257018806000,,0.0
2007-12-26,749750234000.0,0.0,36910568000,,4861800849.22,470984109000,241855557000,,0.0
2008-01-02,735735177000.0,0.0,36910568000,,4892201161.82,470984109000,227840500000,,0.0
2008-01-09,723254640000.0,0.0,36910568000,,4948232120.05,470984109000,215359963000,,0.0
2008-01-16,723806595000.0,0.0,37462523000,,4452320831.23,470984109000,215359963000,,0.0
2008-01-23,718806595000.0,0.0,37462523000,,4508319937.1,470984109000,210359963000,,0.0
2008-01-30,713806595000.0,0.0,37462523000,,4564402171.11,470984109000,205359963000,,0.0
2008-02-06,708806595000.0,0.0,38436795000,,4569630280.68,470009837000,200359963000,,0.0
2008-02-13,708806595000.0,0.0,38436795000,,4562676889.37,470009837000,200359963000,,0.0
2008-02-20,708806595000.0,0.0,38436795000,,4555693544.73,470009837000,200359963000,,0.0
2008-02-27,708806595000.0,0.0,38436795000,,4548747741.31,470009837000,200359963000,,0.0
2008-03-05,708806595000.0,0.0,38436795000,,4581200985.28,470009837000,200359963000,,0.0
2008-03-12,698806595000.0,0.0,38436795000,,4629374056.46,470009837000,190359963000,,0.0
2008-03-19,655806595000.0,0.0,38436795000,,4677655903.96,465009837000,152359963000,,0.0
2008-03-26,607579161000.0,0.0,38436795000,,4725955213.48,455051837000,114090529000,,0.0
2008-04-02,576471285000.0,0.0,38436795000,,4768694434.78,445049837000,92984653000,,0.0
2008-04-09,555316049000.0,0.0,38436795000,,4797951845.52,435050837000,81828417000,,0.0
2008-04-16,543804985000.0,0.0,38436795000,,4827289208.98,435050837000,70317353000,,0.0
2008-04-23,543804985000.0,0.0,38436795000,,4856507327.45,435050837000,70317353000,,0.0
2008-04-30,543804985000.0,0.0,39170612500,,4886983353.06,434317019500,70317353000,,0.0
2008-05-07,531740491000.0,0.0,39170612500,,4973164159.78,426818019500,65751859000,,0.0
2008-05-14,510596374000.0,0.0,39170612500,,5059444592.23,421816019500,49609742000,,0.0
2008-05-21,497716871900.0,0.0,39170612500,,5145630604.98,417391253700,41155005700,,0.0
2008-05-28,485858946000.0,0.0,39170612500,,5231917369.54,412392253700,34296079800,,0.0
2008-06-04,481631729000.0,0.0,39170612500,,5304808792.87,412392253700,30068862800,,0.0
2008-06-11,476705484000.0,0.0,39170612500,,5367656288.97,412392253700,25142617800,,0.0
2008-06-18,473302960000.0,0.0,39170612500,,5430565282.23,412392253700,21740093800,,0.0
2008-06-25,473302960000.0,0.0,39170612500,,5493536865.84,412392253700,21740093800,,0.0
2008-07-02,473302960000.0,0.0,39170612500,,5562655210.25,412392253700,21740093800,,0.0
2008-07-09,473302960000.0,0.0,39170612500,,5647699323.63,412392253700,21740093800,,0.0
2008-07-16,473302960000.0,0.0,39170612500,,5732696227.98,412392253700,21740093800,,0.0
2008-07-23,473302960000.0,0.0,39170612500,,5817711081.58,412392253700,21740093800,,0.0
2008-07-30,473302960000.0,0.0,39170612500,,5902710162.74,412392253700,21740093800,,0.0
2008-08-06,473302960000.0,0.0,39831578000,,6026658257.22,411731288200,21740093800,,0.0
2008-08-13,473302960000.0,0.0,39831578000,,6130828354.53,411731288200,21740093800,,0.0
2008-08-20,473302960000.0,0.0,39831578000,,6234905642.1,411731288200,21740093800,,0.0
2008-08-27,473302960000.0,0.0,39831578000,,6339133436.36,411731288200,21740093800,,0.0
2008-09-03,473302960000.0,0.0,39831578000,,6422873979.07,411731288200,21740093800,,0.0
2008-09-10,473302960000.0,0.0,39831578000,,6479512988.91,411731288200,21740093800,,0.0
2008-09-17,473302960000.0,0.0,39831578000,,6536196535.9,411731288200,21740093800,,0.0
2008-09-24,479985502900.0,0.0,39831578000,,6592770931.8,411731288200,18422636700,10000000000.0,0.0
2008-10-01,484485502900.0,0.0,39831578000,,6635333142.0,411731288200,18422636700,14500000000.0,0.0
2008-10-08,484090502900.0,0.0,39831578000,,6593485758.51,411731288200,18422636700,14105000000.0,0.0
2008-10-15,484090502900.0,0.0,40805578000,,6569252208.49,410757288200,18422636700,14105000000.0,0.0
2008-10-22,484090502900.0,0.0,40805578000,,6526435204.81,410757288200,18422636700,14105000000.0,0.0
2008-10-29,483605502900.0,0.0,40805578000,,6483639954.99,410757288200,18422636700,13620000000.0,0.0
2008-11-05,483220502900.0,0.0,41071418200,,6470152706.54,410491448000,18422636700,13235000000.0,0.0
2008-11-12,482954502900.0,0.0,41071418200,,6454831722.74,410491448000,18422636700,12969000000.0,0.0
2008-11-19,482486502900.0,0.0,41071418200,,6439510383.48,410491448000,18422636700,12501000000.0,0.0
2008-11-26,482206502900.0,0.0,41071418200,,6421958861.02,410491448000,18422636700,12221000000.0,0.0
2008-12-03,481557502900.0,0.0,41071418200,,6368963203.8,410491448000,18422636700,11572000000.0,0.0
2008-12-10,485797502900.0,0.0,41071418200,,6260612063.43,410491448000,18422636700,15812000000.0,0.0
2008-12-17,487606502900.0,0.0,41071418200,,6152285018.91,410491448000,18422636700,17621000000.0,0.0
2008-12-24,490863502900.0,0.0,41071418200,,6028558817.77,410491448000,18422636700,20878000000.0,0.0
2008-12-31,489693502900.0,0.0,41071418200,,5935739189.41,410491448000,18422636700,19708000000.0,0.0
2009-01-07,489243502900.0,0.0,41071418200,,5732371318.42,410491448000,18422636700,19258000000.0,0.0
2009-01-14,499777138125.9,5633635226.0,41071418200,,5529051056.3,410491448000,18422636700,24158000000.0,0.0
2009-01-21,500862459378.3,5990622678.0,39377689800,,4607992790.08,412913510200,18422636700,24158000000.0,0.0
2009-01-28,506455605952.9,7376769253.0,39377689800,,4415333956.01,412913510200,18422636700,28365000000.0,0.0
2009-02-04,508005605952.9,7376769253.0,39377689800,,4268121953.71,412913510200,18422636700,29915000000.0,0.0
2009-02-11,510241035485.3,7377198785.0,39377689800,,4155085110.39,412913510200,18422636700,32150000000.0,0.0
2009-02-18,569583110791.8,65292274092.0,39377689800,,4042066201.27,412913510200,18422636700,33577000000.0,0.0
2009-02-25,577796817888.5,68744981188.0,39377689800,,3929088045.27,412913510200,18422636700,38338000000.0,0.0
2009-03-04,577854079572.0,68902242872.0,39377689800,,3904945276.07,412913510200,18422636700,38238000000.0,0.0
2009-03-11,584103536857.9,68957700158.0,39377689800,,3947421160.2,412913510200,18422636700,44432000000.0,0.0
2009-03-18,755474689701.8,236488853002.0,39377689800,,3989956495.73,412913510200,18422636700,48272000000.0,0.0
2009-03-25,757262829168.0,236155992468.0,39377689800,,4032403497.71,412913510200,18422636700,50393000000.0,0.0
2009-04-01,778506859651.8,236637022952.0,39377689800,,4076110105.78,430453510200,18422636700,53616000000.0,0.0
2009-04-08,797226860769.1,236651024069.0,39377689800,,4126522716.85,446487510200,18422636700,56288000000.0,0.0
2009-04-15,939005450030.7,355636613331.0,39473181300,,4175543455.11,464032018700,18422636700,61441000000.0,0.0
2009-04-22,962532166382.1,367590329682.0,40976181300,,4537759016.49,471032018700,18422636700,64511000000.0,0.0
2009-04-29,978767249513.3,366153412813.0,40976181300,,4590350415.99,485057018700,18422636700,68158000000.0,0.0
2009-05-06,993274855920.8,365820019221.0,41253401400,,4620201987.44,496304798600,18422636700,71474000000.0,0.0
2009-05-13,1076946150438.7,431545313739.0,41253401400,,4645318180.59,512769798600,18422636700,72955000000.0,0.0
2009-05-20,1086755315401.6,431480478702.0,41253401400,,4670543414.55,518924798600,18422636700,76674000000.0,0.0
2009-05-27,1102552835690.7,427551998991.0,42803401400,,4893764881.94,534021798600,18422636700,79753000000.0,0.0
2009-06-03,1110851841941.7,427633005242.0,42803401400,,4920551392.89,540021798600,18422636700,81971000000.0,0.0
2009-06-10,1137527027700.0,427416191000.0,42803401400,,4948315504.66,562515798600,18422636700,86369000000.0,0.0
2009-06-17,1179420566263.3,455963729563.0,42803401400,,4976129654.12,572465798600,18422636700,89765000000.0,0.0
2009-06-24,1212040431153.8,467225594454.0,42803401400,,5003837073.01,586962798600,18422636700,96626000000.0,0.0
2009-07-01,1218709988357.7,462444151658.0,42803401400,,5032128477.75,597211798600,18422636700,97828000000.0,0.0
2009-07-08,1228717963752.8,462453127053.0,42803401400,,5063376246.56,607210798600,18422636700,97828000000.0,0.0
2009-07-15,1307055220103.7,526418383404.0,42938634200,,5094613793.75,617574565800,18422636700,101701000000.0,0.0
2009-07-22,1335580630031.6,545465793332.0,44437634200,,5290793031.62,624574565800,18422636700,102680000000.0,0.0
2009-07-29,1339237440598.3,542887603898.0,44437634200,,5323135522.49,627574565800,18422636700,105915000000.0,0.0
2009-08-05,1350881324630.3,542885487930.0,44587935400,,5400963762.42,636919264600,18422636700,108066000000.0,0.0
2009-08-12,1376364278444.9,542885441745.0,44587935400,,5497837772.59,660465264600,18422636700,110003000000.0,0.0
2009-08-19,1451809940304.0,609531103604.0,44587935400,,5594606380.57,667481264600,18422636700,111787000000.0,0.0
